,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
16331,Josh Jackson,PHO,Home,Starter,39,80,28,2,3,2,1,3,23,10,8,6,6,SAC,Loss,79
16332,Alex Len,PHO,Home,Bench,32,85,17,1,2,0,0,3,9,6,8,4,15,SAC,Loss,79
16333,Danuel House,PHO,Home,Bench,28,79,14,5,3,0,0,3,9,5,2,2,6,SAC,Loss,79
16334,Tyler Ulis,PHO,Home,Starter,36,70,13,9,1,1,0,1,12,4,6,5,3,SAC,Loss,79
16335,Shaquille Harrison,PHO,Home,Bench,23,76,10,1,2,2,1,2,7,5,1,0,0,SAC,Loss,79
16336,Dragan Bender,PHO,Home,Starter,21,84,8,0,0,0,2,2,7,3,2,1,7,SAC,Loss,79
16337,Marquese Chriss,PHO,Home,Starter,27,82,6,0,2,0,1,2,7,2,2,2,13,SAC,Loss,79
16394,Josh Richardson,MIA,Away,Starter,27,78,19,2,0,3,4,0,12,7,3,3,4,ATL,Loss,79
16395,Kelly Olynyk,MIA,Away,Bench,23,84,19,5,1,0,0,4,12,7,0,0,8,ATL,Loss,79
16396,Justise Winslow,MIA,Away,Bench,27,78,18,5,2,0,0,0,16,7,3,3,1,ATL,Loss,79
16397,Rodney McGruder,MIA,Away,Starter,21,76,14,1,1,1,0,3,6,5,2,1,2,ATL,Loss,79
16398,Wayne Ellington,MIA,Away,Bench,24,76,11,0,0,1,1,1,9,4,0,0,3,ATL,Loss,79
16399,Derrick Jones,MIA,Away,Bench,12,79,10,1,1,0,0,1,5,3,4,3,4,ATL,Loss,79
16400,Tyler Johnson,MIA,Away,Starter,23,76,6,2,2,0,1,2,10,3,0,0,2,ATL,Loss,79
16443,Bojan Bogdanović,IND,Home,Starter,30,80,28,2,2,1,1,3,13,11,0,0,3,GS,Loss,79
16444,Victor Oladipo,IND,Home,Starter,33,76,21,7,2,3,0,2,17,9,0,0,6,GS,Loss,79
16445,Thaddeus Young,IND,Home,Starter,29,80,16,5,0,2,1,2,11,7,4,2,8,GS,Loss,79
16446,Darren Collison,IND,Home,Starter,24,72,15,5,1,2,0,1,8,6,2,2,5,GS,Loss,79
16447,Domantas Sabonis,IND,Home,Bench,24,83,13,2,2,1,1,5,11,4,5,4,9,GS,Loss,79
16448,Lance Stephenson,IND,Home,Bench,16,77,9,3,1,0,0,1,6,3,2,1,6,GS,Loss,79
16449,Myles Turner,IND,Home,Starter,25,84,8,1,2,0,0,2,9,3,2,2,3,GS,Loss,79
16457,LeBron James,CLE,Home,Starter,39,80,33,14,6,0,0,2,20,12,10,7,9,WAS,Loss,79
16458,Jeff Green,CLE,Home,Starter,32,81,21,1,1,1,0,0,10,8,3,3,1,WAS,Loss,79
16459,Kevin Love,CLE,Home,Starter,31,82,16,3,3,1,0,2,10,5,2,2,6,WAS,Loss,79
16460,Kyle Korver,CLE,Home,Bench,22,79,13,0,1,0,1,2,7,4,2,2,3,WAS,Loss,79
16461,Rodney Hood,CLE,Home,Starter,27,80,11,2,0,2,0,3,6,3,7,5,3,WAS,Loss,79
16462,Jordan Clarkson,CLE,Home,Bench,22,77,10,1,2,2,0,1,12,5,0,0,0,WAS,Loss,79
16463,Cedi Osman,CLE,Home,Starter,15,80,8,3,1,2,0,1,3,2,2,2,2,WAS,Loss,79
