playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt
Jaylen Brown,BOS,Away,Starter,40,79,25,0,3,3,0,5,23,11,2,1,6,CLE,Win
Kyrie Irving,BOS,Away,Starter,39,75,22,10,2,3,0,4,17,8,2,2,4,CLE,Win
Jayson Tatum,BOS,Away,Starter,37,80,14,3,1,0,0,4,12,5,3,3,10,CLE,Win
Marcus Smart,BOS,Away,Bench,35,76,12,3,2,2,2,2,16,5,3,2,9,CLE,Win
Al Horford,BOS,Away,Starter,32,82,9,5,0,0,1,2,7,2,7,5,7,CLE,Win
Terry Rozier,BOS,Away,Bench,20,73,9,2,0,3,0,0,6,2,4,4,3,CLE,Win
Aron Baynes,BOS,Away,Bench,19,82,6,1,2,0,1,5,2,2,4,2,5,CLE,Win
LeBron James,CLE,Home,Starter,41,80,29,9,4,0,2,3,19,12,4,4,16,BOS,Loss
Kevin Love,CLE,Home,Starter,28,82,15,0,2,0,0,2,9,4,7,6,11,BOS,Loss
Derrick Rose,CLE,Home,Starter,31,75,14,2,2,0,0,2,14,5,4,3,4,BOS,Loss
Jae Crowder,CLE,Home,Starter,35,78,11,2,1,2,0,2,10,3,4,4,5,BOS,Loss
J.R. Smith,CLE,Home,Bench,22,78,10,1,0,0,0,4,7,4,1,1,4,BOS,Loss
Dwyane Wade,CLE,Home,Starter,29,76,8,3,4,0,2,1,10,3,2,2,2,BOS,Loss
Jeff Green,CLE,Home,Bench,14,81,6,0,1,0,0,3,8,3,0,0,0,BOS,Loss
