,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
1,Kyrie Irving,BOS,Away,Starter,39,75,22,10,2,3,0,4,17,8,2,2,4,CLE,Win,1
6,Aron Baynes,BOS,Away,Bench,19,82,6,1,2,0,1,5,2,2,4,2,5,CLE,Win,1
92,Kyrie Irving,BOS,Home,Starter,39,75,17,3,3,3,0,1,25,7,2,1,4,MIL,Win,2
266,Kyrie Irving,BOS,Away,Starter,36,75,21,4,5,2,0,4,17,7,7,6,6,PHI,Loss,3
270,Aron Baynes,BOS,Away,Starter,14,82,10,2,1,0,0,5,8,5,1,0,8,PHI,Loss,3
709,Kyrie Irving,BOS,Home,Starter,30,75,20,7,3,1,0,2,13,5,9,9,3,NY,Loss,4
925,Kyrie Irving,BOS,Away,Starter,35,75,24,7,2,2,1,3,18,10,2,2,3,MIL,Loss,5
927,Aron Baynes,BOS,Away,Bench,24,82,12,1,2,0,0,2,6,3,6,6,7,MIL,Loss,5
1106,Kyrie Irving,BOS,Away,Starter,34,75,24,3,2,3,1,0,23,10,2,2,4,MIA,Loss,6
1112,Aron Baynes,BOS,Away,Starter,24,82,6,1,1,1,4,2,3,2,2,2,5,MIA,Loss,6
1281,Kyrie Irving,BOS,Home,Starter,30,75,24,6,1,3,1,3,16,10,1,1,2,SA,Loss,7
1519,Kyrie Irving,BOS,Home,Starter,27,75,22,5,1,4,0,1,17,8,2,2,0,SAC,Loss,8
1792,Kyrie Irving,BOS,Away,Starter,34,75,25,6,0,2,1,1,22,10,3,2,5,OKC,Loss,9
1922,Kyrie Irving,BOS,Away,Starter,28,75,11,5,1,1,0,3,13,4,4,3,0,ORL,Loss,10
2030,Kyrie Irving,BOS,Away,Starter,37,75,35,7,2,0,0,3,22,14,4,3,3,ATL,Loss,11
2247,Aron Baynes,BOS,Home,Starter,23,82,21,3,2,0,0,4,12,8,8,5,8,LAL,Loss,12
2248,Kyrie Irving,BOS,Home,Starter,33,75,19,5,2,1,0,3,21,7,5,5,6,LAL,Loss,12
2631,Aron Baynes,BOS,Home,Starter,20,82,3,1,0,0,0,1,6,1,2,1,8,TOR,Loss,14
2800,Kyrie Irving,BOS,Away,Starter,29,75,25,5,2,1,0,1,20,8,8,7,3,BKN,Loss,15
