playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt
Jaylen Brown,BOS,Away,Starter,40,79,25,0,3,3,0,5,23,11,2,1,6,CLE,Win
Kyrie Irving,BOS,Away,Starter,39,75,22,10,2,3,0,4,17,8,2,2,4,CLE,Win
Jayson Tatum,BOS,Away,Starter,37,80,14,3,1,0,0,4,12,5,3,3,10,CLE,Win
Marcus Smart,BOS,Away,Bench,35,76,12,3,2,2,2,2,16,5,3,2,9,CLE,Win
Al Horford,BOS,Away,Starter,32,82,9,5,0,0,1,2,7,2,7,5,7,CLE,Win
Terry Rozier,BOS,Away,Bench,20,73,9,2,0,3,0,0,6,2,4,4,3,CLE,Win
Aron Baynes,BOS,Away,Bench,19,82,6,1,2,0,1,5,2,2,4,2,5,CLE,Win
LeBron James,CLE,Home,Starter,41,80,29,9,4,0,2,3,19,12,4,4,16,BOS,Loss
Kevin Love,CLE,Home,Starter,28,82,15,0,2,0,0,2,9,4,7,6,11,BOS,Loss
Derrick Rose,CLE,Home,Starter,31,75,14,2,2,0,0,2,14,5,4,3,4,BOS,Loss
Jae Crowder,CLE,Home,Starter,35,78,11,2,1,2,0,2,10,3,4,4,5,BOS,Loss
J.R. Smith,CLE,Home,Bench,22,78,10,1,0,0,0,4,7,4,1,1,4,BOS,Loss
Dwyane Wade,CLE,Home,Starter,29,76,8,3,4,0,2,1,10,3,2,2,2,BOS,Loss
Jeff Green,CLE,Home,Bench,14,81,6,0,1,0,0,3,8,3,0,0,0,BOS,Loss
James Harden,HOU,Away,Starter,36,77,27,10,3,1,0,2,23,10,4,3,6,GS,Loss
Eric Gordon,HOU,Away,Bench,29,75,24,1,2,1,2,1,16,9,8,6,1,GS,Loss
P.J. Tucker,HOU,Away,Bench,29,77,20,0,1,1,0,3,9,6,6,4,6,GS,Loss
Luc Richard Mbah a Moute,HOU,Away,Bench,23,80,14,0,2,0,0,1,9,6,0,0,4,GS,Loss
Ryan Anderson,HOU,Away,Starter,33,82,13,1,0,1,1,3,12,5,0,0,8,GS,Loss
Clint Capela,HOU,Away,Starter,18,82,12,0,2,1,1,0,10,6,1,0,4,GS,Loss
Trevor Ariza,HOU,Away,Starter,38,80,8,5,1,2,0,2,9,3,0,0,6,GS,Loss
Nick Young,GS,Home,Bench,26,79,23,0,1,0,0,4,9,8,1,1,2,HOU,Win
Stephen Curry,GS,Home,Starter,30,75,22,4,2,1,0,4,18,8,3,3,5,HOU,Win
Kevin Durant,GS,Home,Starter,38,81,20,7,8,0,4,4,15,7,5,4,5,HOU,Win
Klay Thompson,GS,Home,Starter,38,79,16,3,1,2,2,0,14,6,0,0,6,HOU,Win
Draymond Green,GS,Home,Starter,28,79,9,13,2,0,0,3,6,2,4,4,11,HOU,Win
Jordan Bell,GS,Home,Bench,12,81,8,1,1,0,0,4,5,4,0,0,1,HOU,Win
Zaza Pachulia,GS,Home,Starter,10,83,6,0,0,0,1,1,2,2,2,2,3,HOU,Win
Kemba Walker,CHA,Away,Starter,35,73,24,4,4,0,0,1,13,6,13,11,6,DET,Win
Jeremy Lamb,CHA,Away,Starter,28,77,15,2,2,1,0,2,10,4,8,7,4,DET,Win
Dwight Howard,CHA,Away,Starter,31,83,10,1,3,1,2,2,9,5,2,0,15,DET,Win
Dwayne Bacon,CHA,Away,Starter,20,79,8,2,2,0,0,1,6,3,0,0,2,DET,Win
Cody Zeller,CHA,Away,Bench,23,84,8,0,2,0,1,2,5,3,2,2,9,DET,Win
Marvin Williams,CHA,Away,Starter,27,81,7,0,0,0,0,2,5,2,2,1,2,DET,Win
Julyan Stone,CHA,Away,Bench,13,78,6,1,1,2,0,3,3,2,0,0,3,DET,Win
Tobias Harris,DET,Home,Starter,34,80,27,3,1,0,0,3,18,11,1,1,10,CHA,Loss
Langston Galloway,DET,Home,Bench,25,74,16,0,1,3,0,0,11,6,1,1,4,CHA,Loss
Avery Bradley,DET,Home,Starter,23,74,15,1,2,0,0,4,10,7,1,1,2,CHA,Loss
Reggie Jackson,DET,Home,Starter,27,75,13,8,0,1,0,2,10,5,3,3,5,CHA,Loss
Henry Ellenson,DET,Home,Bench,16,83,13,1,0,1,0,2,10,5,1,1,4,CHA,Loss
Andre Drummond,DET,Home,Starter,22,83,8,4,0,1,2,3,9,3,2,2,13,CHA,Loss
