playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Marcus Smart,BOS,35,76,12,3,2,2,2,2,16,5,9
Al Horford,BOS,32,82,9,5,0,0,1,2,7,2,7
LeBron James,CLE,41,80,29,9,4,0,2,3,19,12,16
Jae Crowder,CLE,35,78,11,2,1,2,0,2,10,3,5
Derrick Rose,CLE,31,75,14,2,2,0,0,2,14,5,4
James Harden,HOU,36,77,27,10,3,1,0,2,23,10,6
Chris Paul,HOU,33,72,4,11,1,2,1,4,9,2,8
Luc Richard Mbah a Moute,HOU,23,80,14,0,2,0,0,1,9,6,4
Klay Thompson,GS,38,79,16,3,1,2,2,0,14,6,6
Nick Young,GS,26,79,23,0,1,0,0,4,9,8,2
Shaun Livingston,GS,19,79,6,5,1,0,0,2,5,2,1
Dwight Howard,CHA,31,83,10,1,3,1,2,2,9,5,15
Marvin Williams,CHA,27,81,7,0,0,0,0,2,5,2,2
Cody Zeller,CHA,23,84,8,0,2,0,1,2,5,3,9
Reggie Jackson,DET,27,75,13,8,0,1,0,2,10,5,5
Langston Galloway,DET,25,74,16,0,1,3,0,0,11,6,4
Rondae Hollis-Jefferson,BKN,28,79,14,2,1,1,0,3,4,3,4
Bojan Bogdanović,IND,29,80,14,0,3,0,0,2,9,5,0
Dion Waiters,MIA,38,76,15,4,3,2,1,1,17,7,0
Josh Richardson,MIA,35,78,10,2,2,0,1,3,9,4,2
Kelly Olynyk,MIA,21,84,10,3,0,0,0,4,7,3,5
Aaron Gordon,ORL,34,81,14,3,1,0,2,4,13,4,9
Elfrid Payton,ORL,32,76,13,9,4,3,1,2,12,6,3
Terrence Ross,ORL,31,78,15,4,1,2,1,0,11,5,6
Jonathon Simmons,ORL,28,78,12,0,1,0,0,4,10,5,2
Jonathan Isaac,ORL,17,82,4,0,0,0,2,3,3,2,8
Ben Simmons,PHI,35,82,18,5,1,2,1,3,15,7,10
Timothé Luwawu-Cabarrot,PHI,18,79,5,2,0,1,0,2,6,2,2
Mike Scott,WAS,15,80,7,0,1,0,0,0,6,3,2
Giannis Antetokounmpo,MIL,37,82,37,3,5,3,0,4,22,13,13
Tony Snell,MIL,29,79,5,1,0,0,0,4,4,2,4
Matthew Dellavedova,MIL,26,76,15,1,1,0,0,2,10,4,1
Greg Monroe,MIL,17,83,10,1,0,0,0,3,5,4,6
Al Horford,BOS,33,82,13,4,2,3,2,3,11,6,6
Marcus Smart,BOS,32,76,12,4,3,3,0,4,13,4,7
Anthony Davis,NO,40,82,33,0,5,0,1,5,23,9,18
Dante Cunningham,NO,26,80,7,0,0,1,1,1,4,2,9
Ian Clark,NO,21,75,3,2,1,1,0,3,3,1,3
Darius Miller,NO,17,80,0,0,0,0,1,4,1,0,0
Mike Conley,MEM,33,73,27,3,1,2,0,3,15,9,5
Dillon Brooks,MEM,29,79,19,2,2,4,2,2,13,7,5
Mario Chalmers,MEM,26,73,5,4,0,0,0,3,9,1,2
Tyreke Evans,MEM,20,78,11,2,1,0,0,3,12,4,5
Wesley Matthews,DAL,37,77,15,5,5,1,0,4,12,5,8
Dennis Smith,DAL,30,75,16,10,3,0,0,2,12,6,3
Wilson Chandler,DEN,34,80,9,1,1,2,1,2,11,4,2
Jamal Murray,DEN,20,76,8,2,3,0,0,2,6,2,2
Rudy Gobert,UTA,35,85,18,1,6,0,1,4,9,7,10
Joe Ingles,UTA,33,80,11,6,0,2,0,3,6,4,5
Ricky Rubio,UTA,32,76,9,10,3,2,0,1,9,3,5
Derrick Favors,UTA,28,82,14,4,1,1,0,4,14,7,4
Donovan Mitchell,UTA,26,75,10,4,3,0,1,1,11,3,1
Tyus Jones,MIN,23,72,3,1,0,1,0,1,3,1,2
LaMarcus Aldridge,SA,39,83,25,4,3,0,2,2,21,9,10
Danny Green,SA,33,78,17,2,2,2,2,2,16,7,4
Kyle Anderson,SA,30,81,12,1,0,0,1,1,9,5,9
Pau Gasol,SA,29,84,7,4,1,0,3,1,8,3,7
Rudy Gay,SA,24,81,14,2,0,1,0,3,9,5,5
Pat Connaughton,POR,32,77,24,2,1,0,0,2,14,9,2
Jusuf Nurkic,POR,23,83,11,1,5,1,0,3,7,2,11
Shabazz Napier,POR,23,73,10,3,1,2,0,2,6,4,3
James Harden,HOU,38,77,27,9,2,2,0,1,21,8,3
Clint Capela,HOU,28,82,22,1,2,3,1,2,12,10,17
Luc Richard Mbah a Moute,HOU,24,80,4,0,1,0,0,0,4,1,4
De'Aaron Fox,SAC,24,75,14,5,3,0,0,2,15,7,4
Lauri Markkanen,CHI,33,84,17,0,3,0,1,2,12,5,8
Jerian Grant,CHI,27,77,7,7,2,2,0,1,9,3,2
Denzel Valentine,CHI,26,77,12,0,1,0,0,4,10,4,2
Paul Zipser,CHI,24,80,7,3,3,1,0,4,6,3,5
Cristiano Felício,CHI,16,82,4,0,3,0,0,4,2,2,2
DeMar DeRozan,TOR,32,79,11,5,5,2,1,1,9,2,6
Kyle Lowry,TOR,31,72,12,9,4,1,0,1,7,4,4
Norman Powell,TOR,25,76,15,1,2,1,0,2,11,5,4
Doug McDermott,NY,24,80,4,4,1,0,1,0,5,2,3
Ron Baker,NY,23,76,6,4,4,3,0,1,3,1,2
Russell Westbrook,OKC,33,75,21,16,7,0,1,4,12,7,10
Dwight Howard,CHA,33,83,20,0,6,0,1,5,12,8,15
Dwayne Bacon,CHA,19,79,6,0,2,1,0,1,4,2,11
C.J. McCollum,POR,32,75,28,1,0,1,1,2,18,12,7
Jusuf Nurkic,POR,26,83,11,3,6,1,1,5,13,4,2
Pat Connaughton,POR,22,77,8,1,0,0,0,2,4,3,3
Bojan Bogdanović,IND,24,80,11,0,2,0,0,1,9,4,4
LeBron James,CLE,37,80,24,8,5,1,1,1,16,10,5
Jae Crowder,CLE,25,78,14,1,0,1,0,1,8,6,4
Derrick Rose,CLE,23,75,12,1,1,2,0,0,4,3,2
Giannis Antetokounmpo,MIL,39,82,34,8,2,3,1,2,22,15,8
Tony Snell,MIL,32,79,9,3,0,1,0,1,7,3,2
Matthew Dellavedova,MIL,24,76,3,5,3,0,0,3,5,1,2
Greg Monroe,MIL,18,83,8,0,3,0,0,1,8,4,6
Al Horford,BOS,36,82,17,3,4,0,1,2,16,5,9
Shane Larkin,BOS,19,71,10,4,1,0,0,0,5,4,2
Ben Simmons,PHI,37,82,11,5,4,1,0,2,11,4,11
Markelle Fultz,PHI,17,76,6,1,0,1,0,4,9,2,3
Reggie Jackson,DET,32,75,21,5,5,5,0,5,21,8,4
Mike Scott,WAS,21,80,8,1,0,0,1,0,4,3,0
Terrence Ross,ORL,30,78,11,2,0,1,0,3,9,4,6
Jonathan Isaac,ORL,23,82,9,3,4,2,1,3,5,4,1
Jonathon Simmons,ORL,22,78,10,1,2,0,0,2,6,3,1
Rondae Hollis-Jefferson,BKN,25,79,15,1,0,3,3,0,10,5,4
Joe Ingles,UTA,34,80,14,3,1,2,0,2,8,5,3
Ricky Rubio,UTA,33,76,19,10,4,2,0,5,10,4,5
Rudy Gobert,UTA,33,85,10,0,3,2,2,2,10,5,13
Derrick Favors,UTA,29,82,16,3,4,0,1,2,15,8,4
